pullSeqNo,producedFrameNumber,pullAtNs,latencyNs
580,579,27824621155458,7187375
581,580,27824687841083,7119708
582,581,27824754133458,7790042
583,582,27824821220250,7187000
584,583,27824887918958,7128292
585,584,27824954583958,7242542
586,585,27825021316583,7310125
587,586,27825088002916,7282000
588,587,27825154760583,7359042
589,588,27825221040333,7323458
590,589,27825288071250,7261584
591,590,27825354879958,7511500
592,591,27825421479500,7593709
593,592,27825488122666,7455083
594,593,27825554902958,7544500
595,594,27825621512583,7469125
596,595,27825688245041,7603791
597,596,27825754916791,7441833
598,597,27825821203666,7881750
599,598,27825888308625,7511417
600,599,27825954993625,7617334
601,600,27826021759708,7773042
602,601,27826088368875,7683959
603,602,27826155120750,7796292
604,603,27826221367791,8299875
605,604,27826288458958,7686583
606,605,27826355263958,7889375
607,606,27826421880625,8308625
608,607,27826488583541,7953750
609,608,27826555313708,7992542
610,609,27826621893791,7885375
611,610,27826688252416,8243541
612,611,27826755157416,7726000
613,612,27826821979958,7915042
614,613,27826888791500,8141917
615,614,27826955440250,8227417
616,615,27827022089833,8608458
617,616,27827088828500,8253000
618,617,27827155121916,8335041
619,618,27827213865125,1386042
620,619,27827288831125,7923500
621,620,27827355599000,8263375
622,621,27827422355833,8860208
623,622,27827488578666,8526583
624,623,27827555638750,8253209
625,624,27827622332041,8358333
626,625,27827689018250,8336042
627,626,27827755757291,8494333
628,627,27827822425583,8428167
629,628,27827889133875,8482334
630,629,27827955829708,8500875
631,630,27828022502916,8471625
632,631,27828089199291,8556083
633,632,27828155906291,8557708
634,633,27828222556291,8492041
635,634,27828289269208,8663583
636,635,27828355979416,8720250
637,636,27828422467666,8938750
638,637,27828489470875,8753750
639,638,27828556058541,8724125
640,639,27828622729583,8730583
641,640,27828689520833,8811833
642,641,27828756103708,8807500
643,642,27828822472958,8821167
644,643,27828889557291,8905916
645,644,27828956219750,8815584
646,645,27829022930500,9009834
647,646,27829089649708,8941875
648,647,27829156350000,9081750
649,648,27829214823000,1343709
650,649,27829289607916,8757166
651,650,27829355989791,8789125
652,651,27829414892875,1377167
653,652,27829489647333,8697875
654,653,27829556415125,9133459
655,654,27829623171791,9093000
656,655,27829689874625,9058459
657,656,27829747853750,661625
658,657,27829823149625,8980625
659,658,27829889916416,9157125
660,659,27829956613250,9283375
661,660,27830023342083,9266833
662,661,27830090051541,9332125
663,662,27830156773500,9452250
664,663,27830214706958,741417
665,664,27830281868625,1624084
666,665,27830348665875,1353209
667,666,27830415154583,1665208
668,667,27830490096500,9329375
669,668,27830556851041,9344166
670,669,27830623592708,9502708
671,670,27830682111333,1422458
672,671,27830748243000,922542
673,672,27830815501750,1356584
674,673,27830882268500,1504375
675,674,27830948813958,1496667
676,675,27831015034791,1039583
677,676,27831082220041,1512666
678,677,27831148762291,1520291
679,678,27831215373958,1271583
680,679,27831282197291,1498625
681,680,27831348991416,1633416
682,681,27831415591083,1979667
683,682,27831481880375,2759042
684,683,27831548941708,1585167
685,684,27831615641833,3859958
686,685,27831682286166,1632500
687,686,27831748639916,1199166
688,687,27831815633541,1527541
689,688,27831882369625,1591792
690,689,27831949118125,1729500
691,690,27832015830708,1777875
692,691,27832082468333,1738375
693,692,27832149191583,1703667
694,693,27832215551500,3426125
695,694,27832282109333,1312375
696,695,27832349287208,1817667
697,696,27832415988708,2425708
698,697,27832482728750,1787959
699,698,27832549385166,1918250
700,699,27832616066541,2015666
701,700,27832682796833,2137958
702,701,27832749441708,2130167
703,702,27832816136666,2131541
704,703,27832882467041,1737083
705,704,27832949596541,2135416
706,705,27833016221666,2138083
707,706,27833082890750,2111042
708,707,27833149606375,2276250
709,708,27833216342875,2114542
710,709,27833282994791,2214708
711,710,27833349703083,2361167
712,711,27833416459291,2743333
713,712,27833482708708,1903333
714,713,27833549774833,2427500
715,714,27833616456125,2381167
716,715,27833683165791,2459541
717,716,27833749986750,2465625
718,717,27833816549166,2507791
719,718,27833882870458,3656542
720,719,27833949944333,2439875
721,720,27834016642500,2456084
722,721,27834083353250,2638959
723,722,27834150027625,2589917
724,723,27834216621500,2473917
725,724,27834283422166,2620208
726,725,27834349709291,2284041
727,726,27834416800250,3070167
728,727,27834483489000,2679625
729,728,27834550182041,2696416
730,729,27834616876750,2541250
731,730,27834683508875,2511875
732,731,27834750260541,2569833
733,732,27834816548000,3996459
734,733,27834883669916,2746750
735,734,27834950416833,2909875
736,735,27835017008083,2917250
737,736,27835083738083,2844542
738,737,27835150448583,2985667
739,738,27835217115250,3426375
740,739,27835283461625,2627959
741,740,27835350630875,3097625
742,741,27835417075583,3490083
743,742,27835483890375,2953292
744,743,27835550586833,3056125
745,744,27835617256750,3120084
746,745,27835683983708,3115125
747,746,27835750667083,3189083
748,747,27835816890583,2839000
749,748,27835884045875,3135000
750,749,27835950761291,3094416
751,750,27836017409000,3202625
752,751,27836084188083,3306125
753,752,27836150864125,3357125
754,753,27836217519958,3406625
755,754,27836284235750,3245000
